ids,name,full_name,inviable
YDR336W,MRX8,Mitochondrial oRganization of gene eXpression (MIOREX),0
YDR337W,MRPS28,"Mitochondrial Ribosomal Protein, Small subunit",0
YDR338C,,,0
YDR339C,FCF1,Faf1p Copurifying Factor,1
YDR340W,,,0
YDR341C,,,1
YDR344C,,,0
YDR345C,HXT3,HeXose Transporter,0
YDR346C,SVF1,SurVival Factor,0
YDR347W,MRP1,Mitochondrial Ribosomal Protein,0
YDR348C,PAL1,Pears And Lemons,0
YDR349C,YPS7,YaPSin,0
YDR350C,ATP22,ATPase synthase,0
YDR351W,SBE2,Suppressor of BEm4,0
YDR352W,YPQ2,Yeast PQ-loop protein,0
YDR353W,TRR1,ThioRedoxin Reductase,1
YDR354W,TRP4,TRyPtophan,0
YDR355C,,,1
YDR356W,SPC110,Spindle Pole Component,1
YDR357C,CNL1,CNo-Like,0
YDR358W,GGA1,"Golgi-localized, Gamma-adaptin ear homology, Arf-binding protein",0
YDR359C,EAF1,Esa1p-Associated Factor,0
YDR360W,OPI7,OverProducer of Inositol,0
YDR361C,BCP1,,1
YDR362C,TFC6,Transcription Factor C,1
YDR363W,ESC2,Establishment of Silent Chromatin,0
YDR363W-A,SEM1,Suppressor of Exocyst Mutations,0
YDR364C,CDC40,Cell Division Cycle,0
YDR365C,ESF1,Eighteen S rRNA Factor,1
YDR367W,KEI1,Kex2-cleavable protein Essential for Inositol phosphorylceramide synthesis,1
YDR368W,YPR1,Yeast Putative Reductase,0
YDR369C,XRS2,X-Ray Sensitive,0
YDR370C,DXO1,Decapping eXOnuclease,0
YDR371W,CTS2,ChiTinaSe,0
YDR372C,VPS74,Vacuolar Protein Sorting,0
YDR373W,FRQ1,FReQuenin homolog,1
YDR374C,PHO92,PHOsphate metabolism,0
YDR375C,BCS1,ubiquinol-cytochrome c reductase (bc1) Synthesis,0
YDR376W,ARH1,Adrenodoxin Reductase Homolog,1
YDR377W,ATP17,ATP synthase,0
YDR378C,LSM6,Like SM,0
YDR379C-A,SDH6,,0
YDR379W,RGA2,Rho GTPase Activating Protein,0
YDR380W,ARO10,AROmatic amino acid requiring,0
YDR381W,YRA1,Yeast RNA Annealing protein,1
YDR382W,RPP2B,Ribosomal Protein P2 Beta,0
YDR383C,NKP1,Non-essential Kinetochore Protein,0
YDR384C,ATO3,Ammonia (Ammonium) Transport Outward,0
YDR385W,EFT2,Elongation Factor Two,0
YDR386W,MUS81,MMS and UV Sensitive,0
YDR387C,CIN10,Chromosome INstability,0
YDR388W,RVS167,Reduced Viability on Starvation,0
YDR389W,SAC7,Suppressor of ACtin,0
YDR390C,UBA2,UBiquitin Activating,1
YDR391C,,,0
YDR392W,SPT3,SuPpressor of Ty's,0
YDR393W,SHE9,Sensitivity to High Expression,0
YDR394W,RPT3,"Regulatory Particle Triple-A protein, or Regulatory Particle Triphosphatase",1
YDR395W,SXM1,Suppressor of mRNA eXport Mutant,0
YDR396W,,,1
YDR397C,NCB2,Negative Cofactor B,1
YDR398W,UTP5,U Three Protein,1
YDR399W,HPT1,Hypoxanthine guanine PhosphoribosylTransferase,0
YDR400W,URH1,URidine Hydrolase,0
YDR401W,,,0
YDR402C,DIT2,DITyrosine,0
YDR403W,DIT1,DITyrosine,0
YDR404C,RPB7,RNA Polymerase B,1
YDR405W,MRP20,Mitochondrial Ribosomal Protein,0
YDR406W,PDR15,Pleiotropic Drug Resistance,0
YDR407C,TRS120,TRapp Subunit,1
YDR408C,ADE8,ADEnine requiring,0
YDR409W,SIZ1,SAP and mIZ-finger domain,0
YDR410C,STE14,STErile,0
YDR411C,DFM1,Der1-like Family Member,0
YDR412W,RRP17,Ribosomal RNA Processing,1
YDR413C,,,1
YDR414C,ERD1,Endoplasmic reticulum Retention Defective,0
YDR415C,,,0
YDR416W,SYF1,SYnthetic lethal with cdcForty,1
YDR418W,RPL12B,Ribosomal Protein of the Large subunit,0
YDR419W,RAD30,RADiation sensitive,0
YDR420W,HKR1,Hansenula mrakii Killer toxin Resistant,0
YDR421W,ARO80,AROmatic amino acid requiring,0
YDR422C,SIP1,SNF1-Interacting Protein,0
YDR423C,CAD1,CADmium resistance,0
YDR424C,DYN2,DYNein,0
YDR425W,SNX41,Sorting NeXin,0
YDR426C,,,0
YDR427W,RPN9,Regulatory Particle Non-ATPase,1
YDR428C,BNA7,Biosynthesis of NAD,0
YDR429C,TIF35,Translation Initiation Factor,1
YDR430C,CYM1,CYtosolic Metalloprotease,0
YDR431W,,,0
YDR432W,NPL3,Nuclear Protein Localization,0
YDR433W,,,0
YDR434W,GPI17,GlycosylPhosphatidylInositol anchor biosynthesis,1
YDR435C,PPM1,Protein Phosphatase Methyltransferase,0
YDR436W,PPZ2,Protein Phosphatase Z,0
YDR437W,GPI19,Glycosyl PhosphatidylInositol anchor biosynthesis,1
YDR438W,THI74,THIamine regulon,0
YDR439W,LRS4,Loss of RDNA Silencing,0
YDR440W,DOT1,Disruptor Of Telomeric silencing,0
YDR441C,APT2,Adenine PhosphoribosylTransferase,0
YDR442W,,,0
YDR443C,SSN2,Suppressor of SNf1,0
YDR445C,,,0
YDR446W,ECM11,ExtraCellular Mutant,0
YDR447C,RPS17B,Ribosomal Protein of the Small subunit,0
YDR448W,ADA2,transcriptional ADAptor,0
YDR449C,UTP6,U Three Protein,1
YDR450W,RPS18A,Ribosomal Protein of the Small subunit,0
YDR451C,YHP1,Yeast Homeo-Protein,0
YDR452W,PPN1,,0
YDR453C,TSA2,Thiol-Specific Antioxidant,0
YDR454C,GUK1,GUanylate Kinase,1
YDR455C,,,0
YDR456W,NHX1,Na+/H+ eXchanger,0
YDR457W,TOM1,Temperature dependent Organization in Mitotic nucleus or Trigger Of Mitosis,0
YDR458C,HEH2,Helix-Extension-Helix domain,0
YDR459C,PFA5,Protein Fatty Acyltransferase,0
YDR460W,TFB3,Transcription Factor B subunit 3,1
YDR462W,MRPL28,"Mitochondrial Ribosomal Protein, Large subunit",0
YDR463W,STP1,Species-specific tRNA Processing,0
YDR464W,SPP41,Suppressor of PrP4,1
YDR465C,RMT2,aRginine MeThyltransferase,0
YDR466W,PKH3,Pkb-activating Kinase Homolog,0
YDR467C,,,0
YDR468C,TLG1,T-snare affecting a Late Golgi compartment,1
YDR469W,SDC1,"Set1c, homolog of Dpy30 from C.elegans",0
YDR470C,UGO1,UGO (Japanese for fusion),0
YDR471W,RPL27B,Ribosomal Protein of the Large subunit,0
YDR472W,TRS31,TRapp Subunit,1
YDR473C,PRP3,Pre-mRNA Processing,1
YDR475C,JIP4,Jumonji domain Interacting Protein,0
YDR476C,,,0
YDR477W,SNF1,Sucrose NonFermenting,0
YDR478W,SNM1,Suppressor of Nuclear Mitochondrial endoribonuclease,1
YDR479C,PEX29,PEroXisome related,0
YDR480W,DIG2,Down-regulator of Invasive Growth,0
YDR481C,PHO8,PHOsphate metabolism,0
YDR482C,CWC21,Complexed With Cef1p,0
YDR483W,KRE2,Killer toxin REsistant,0
YDR484W,VPS52,Vacuolar Protein Sorting,0
YDR485C,VPS72,Vacuolar Protein Sorting,0
YDR486C,VPS60,Vacuolar Protein Sorting,0
YDR487C,RIB3,RIBoflavin biosynthesis,1
YDR488C,PAC11,Perish in the Absence of CIN8,0
YDR489W,SLD5,Synthetic Lethality with Dpb11-1,1
YDR490C,PKH1,Pkb-activating Kinase Homolog,0
YDR491C,,,0
YDR492W,IZH1,Implicated in Zinc Homeostasis,0
YDR494W,RSM28,Ribosomal Small subunit of Mitochondria,0
YDR495C,VPS3,Vacuolar Protein Sorting,0
YDR496C,PUF6,PUmilio-homology domain Family,0
YDR497C,ITR1,myo-Inositol TRansporter,0
YDR498C,SEC20,SECretory,1
YDR499W,LCD1,"Lethal, Checkpoint-defective, DNA damage sensitive",1
YDR500C,RPL37B,Ribosomal Protein of the Large subunit,0
YDR501W,PLM2,PLasmid Maintenance,0
YDR503C,LPP1,Lipid Phosphate Phosphatase,0
YDR504C,SPG3,Stationary Phase Gene,0
YDR505C,PSP1,Polymerase SuPpressor,0
YDR506C,GMC1,Grand Meiotic recombination Cluster,0
YDR507C,GIN4,Growth Inhibitory,0
YDR508C,GNP1,GlutamiNe Permease,0
YDR509W,,,0
YDR510W,SMT3,Suppressor of Mif Two,1
YDR511W,SDH7,Succinate DeHydrogenase,0
YDR512C,EMI1,Early Meiotic Induction,0
YDR513W,GRX2,GlutaRedoXin,0
YDR514C,,,0
YDR516C,EMI2,Early Meiotic Induction,0
YDR517W,GRH1,GRasp65 (Golgi reassembly stacking protein of 65kD) Homolog,0
YDR518W,EUG1,ER protein Unnecessary for Growth,0
YDR519W,FPR2,FKBP Proline Rotamase,0
YDR520C,URC2,URacil Catabolism,0
YDR521W,,,0
YDR522C,SPS2,SPorulation Specific,0
YDR523C,SPS1,SPorulation Specific,0
YDR524C,AGE1,Arf Gap with Effector function(s),0
YDR524C-B,,,0
YDR524W-C,,,0
YDR525W,API2,APIcal,0
YDR525W-A,SNA2,Sensitivity to NA+,0
YDR526C,,,1
YDR527W,RBA50,RNA polymerase II (B) Associated protein,1
YDR528W,HLR1,Homolog of LRe1,0
YDR529C,QCR7,ubiQuinol-cytochrome C oxidoReductase,0
YDR530C,APA2,AP4A phosphorylase,0
YDR531W,CAB1,Coenzyme A Biosynthesis,1
YDR532C,KRE28,,0
YDR533C,HSP31,Heat-Shock Protein,0
YDR534C,FIT1,Facilitator of Iron Transport,0
YDR535C,,,0
YDR536W,STL1,Sugar Transporter-Like protein,0
YDR537C,,,0
YDR538W,PAD1,Phenylacrylic Acid Decarboxylase,0
YDR539W,FDC1,Ferulic acid DeCarboxylase,0
YDR540C,IRC4,Increased Recombination Centers,0
YDR541C,,,0
YEL001C,IRC22,Increased Recombination Centers,0
YEL002C,WBP1,Wheat germ agglutinin-Binding Protein,1
YEL003W,GIM4,Gene Involved in Microtubule biogenesis,0
YEL004W,YEA4,,0
YEL005C,VAB2,VAc8p Binding,0
YEL006W,YEA6,,0
YEL007W,MIT1,Muc1 expressed Independent of TEC1,0
YEL008W,,,0
YEL009C,GCN4,General Control Nonderepressible,0
YEL010W,,,0
YEL011W,GLC3,GLyCogen,0
YEL012W,UBC8,UBiquitin-Conjugating,0
YEL013W,VAC8,VACuole related,0
YEL014C,,,0
YEL015W,EDC3,Enhancer of mRNA DeCapping,0
YEL016C,NPP2,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,0
YEL017C-A,PMP2,Plasma Membrane Proteolipid,0
YEL017W,GTT3,GlutaThione Transferase,0
YEL018W,EAF5,Esa1p-Associated Factor,0
YEL019C,MMS21,Methyl MethaneSulfonate sensitivity,1
YEL020C,PXP1,PeroXisomal Protein,0
YEL020W-A,TIM9,Translocase of the Inner Mitochondrial membrane,1
YEL023C,,,0
YEL024W,RIP1,Rieske Iron-sulfur Protein,0
YEL025C,,,0
YEL026W,SNU13,Small NUclear ribonucleoprotein associated,1
YEL027W,VMA3,Vacuolar Membrane Atpase,0
YEL028W,,,0
YEL029C,BUD16,BUD site selection,0
YEL030W,ECM10,ExtraCellular Mutant,0
YEL031W,SPF1,Sensitivity to Pichia Farinosa killer toxin,0
YEL032W,MCM3,MiniChromosome Maintenance,1
YEL033W,MTC7,Maintenance of Telomere Capping,0
YEL034W,HYP2,HYPusine-containing protein,1
YEL035C,UTR5,Unidentified TRanscript,1
YEL036C,ANP1,ANP and osmotic sensitive,0
YEL037C,RAD23,RADiation sensitive,0
YEL038W,UTR4,Unidentified TRanscript,0
YEL039C,CYC7,CYtochrome C,0
YEL040W,UTR2,Unidentified TRanscript,0
YEL041W,YEF1,,0
YEL042W,GDA1,Guanosine DiphosphatAse,0
YEL043W,GTA1,Golgi vesicle Trafficking Associated,0
YEL044W,IES6,Ino Eighty Subunit,0
YEL045C,,,0
YEL046C,GLY1,GLYcine requiring,0
YEL047C,FRD1,Fumarate ReDuctase,0
YEL048C,TCA17,TRAPP Complex Associated protein,0
YEL049W,PAU2,seriPAUperin family,0
YEL050C,RML2,Ribosomal Mitochondrial Large,0
YEL051W,VMA8,Vacuolar Membrane Atpase,0
YEL052W,AFG1,ATPase Family Gene,0
YEL053C,MAK10,MAintenance of Killer,0
YEL054C,RPL12A,Ribosomal Protein of the Large subunit,0
YEL055C,POL5,POLymerase,1
YEL056W,HAT2,Histone AcetylTransferase,0
YEL057C,SDD1,Suppressor of Degenerative Death,0
YEL058W,PCM1,PhosphoaCetylglucosamine Mutase,1
YEL059C-A,SOM1,SOrting Mitochondrial,0
YEL059W,HHY1,Hypersensitivity to HYgromycin B,0
YEL060C,PRB1,PRoteinase B,0
YEL061C,CIN8,Chromosome INstability,0
YEL062W,NPR2,Nitrogen Permease Regulator,0
YEL063C,CAN1,CANavanine resistance,0
YEL064C,AVT2,Amino acid Vacuolar Transport,0
YEL065W,SIT1,Siderophore Iron Transport,0
YEL066W,HPA3,Histone and other Protein Acetyltransferase,0
YEL067C,,,0
YEL068C,,,0
YEL071W,DLD3,D-Lactate Dehydrogenase,0
YEL072W,RMD6,Required for Meiotic nuclear Division,0
YER001W,MNN1,MaNNosyltransferase,0
YER002W,NOP16,NucleOlar Protein,0
YER003C,PMI40,PhosphoMannose Isomerase,1
YER004W,FMP52,Found in Mitochondrial Proteome,0
YER005W,YND1,Yeast Nucleoside Diphosphatase,0
YER006W,NUG1,NUclear GTPase,1
YER007C-A,TMA20,Translation Machinery Associated,0
YER007W,PAC2,Perish in the Absence of Cin8p,0
YER008C,SEC3,SECretory,1
YER009W,NTF2,Nuclear Transport Factor,1
YER010C,,,0
YER011W,TIR1,TIp1-Related,0
YER012W,PRE1,PRoteinase yscE,1
YER013W,PRP22,Pre-mRNA Processing,1
YER014W,HEM14,HEMe biosynthesis,0
YER016W,BIM1,BInding to Microtubules,0
YER017C,AFG3,ATPase Family Gene,0
YER018C,SPC25,Spindle Pole Component,1
YER019C-A,SBH2,Sec61 beta homolog 2,0
YER019W,ISC1,Inositol phosphoSphingolipid phospholipase C,0
YER020W,GPA2,G Protein Alpha subunit,0
YER021W,RPN3,Regulatory Particle Non-ATPase,1
YER022W,SRB4,Suppressor of RNA polymerase B,1
YER023W,PRO3,PROline requiring,1
YER024W,YAT2,,0
YER025W,GCD11,General Control Derepressed,1
YER027C,GAL83,GALactose metabolism,0
YER028C,MIG3,Multicopy Inhibitor of Growth,0
YER030W,CHZ1,Chaperone for Htz1/H2A-H2B dimer,0
YER031C,YPT31,Yeast Protein Two,0
YER032W,FIR1,Factor Interacting with REF2,0
YER033C,ZRG8,Zinc Regulated Gene,0
YER034W,,,0
YER035W,EDC2,Enhancer of mRNA DeCapping,0
YER036C,ARB1,ATP-binding cassette protein involved in Ribosome Biogenesis,1
YER037W,PHM8,PHosphate Metabolism,0
YER038C,KRE29,Killer toxin REsistant,1
YER039C,HVG1,Homologous to VRG4,0
YER039C-A,,,0
YER040W,GLN3,GLutamiNe metabolism,0
YER041W,YEN1,,0
YER042W,MXR1,peptide Methionine sulfoXide Reductase,0
YER043C,SAH1,S-Adenosyl-l-Homocysteine hydrolase,1
YER044C,ERG28,ERGosterol biosynthesis,0
YER044C-A,MEI4,MEIosis-specific,0
YER045C,ACA1,ATF/CREB Activator,0
YER046W,SPO73,SPOrulation,0
YER047C,SAP1,Sin1 Associated Protein,0
YER048C,CAJ1,,0
YER048W-A,ISD11,"Iron-Sulfur protein biogenesis, Desulfurase-interacting protein",1
YER049W,TPA1,Termination and PolyAdenylation,0
YER050C,RSM18,Ribosomal Small subunit of Mitochondria,0
YER051W,JHD1,JmjC domain-containing Histone Demethylase,0
YER052C,HOM3,HOMoserine requiring,0
YER053C,PIC2,PI Carrier,0
YER053C-A,,,0
YER054C,GIP2,Glc7-Interacting Protein,0
YER055C,HIS1,HIStidine,0
YER056C,FCY2,FluoroCYtosine resistance,0
YER056C-A,RPL34A,Ribosomal Protein of the Large subunit,0
YER057C,HMF1,Homologous Mmf1p Factor,0
YER058W,PET117,PETite colonies,0
YER059W,PCL6,Pho85 CycLin,0
YER060W,FCY21,FluoroCYtosine resistance,0
YER062C,GPP2,Glycerol-3-Phosphate Phosphatase,0
YER063W,THO1,suppressor of the Transcriptional defect of Hpr1 by Overexpression,0
YER064C,VHR2,VHt1 Regulator,0
YER065C,ICL1,IsoCitrate Lyase,0
YER066W,RRT13,Regulator of rDNA Transcription,0
YER067W,RGI1,Respiratory Growth Induced,0
YER068W,MOT2,Modulator Of Transcription,0
YER069W,ARG56,ARGinine requiring,0
YER070W,RNR1,RiboNucleotide Reductase,0
YER071C,TDA2,Topoisomerase I Damage Affected,0
YER073W,ALD5,ALdehyde Dehydrogenase,0
YER074W,RPS24A,Ribosomal Protein of the Small subunit,0
YER074W-A,YOS1,Yip One Suppressor,1
YER075C,PTP3,Protein Tyrosine Phosphatase,0
YER077C,MRX1,Mitochondrial oRganization of gene eXpression (MIOREX),0
YER078C,ICP55,Intermediate Cleaving Peptidase,0
YER079W,,,0
YER080W,AIM9,Altered Inheritance rate of Mitochondria,0
YER081W,SER3,SERine requiring,0
YER082C,UTP7,U Three Protein,1
YER083C,GET2,Guided Entry of Tail-anchored proteins,0
YER084W,,,0
YER085C,,,0
YER086W,ILV1,IsoLeucine-plus-Valine requiring,0
YER087C-B,SBH1,Sec61 beta homolog 1,0
YER087W,AIM10,Altered Inheritance rate of Mitochondria,0
YER088C,DOT6,Disruptor Of Telomeric silencing,0
YER090W,TRP2,TRyPtophan,0
YER091C,MET6,METhionine requiring,0
YER091C-A,,,0
YER092W,IES5,Ino Eighty Subunit,0
YER093C,TSC11,Temperature-sensitive Suppressors of Csg2 mutants,1
YER093C-A,AIM11,Altered Inheritance rate of Mitochondria,0
YER094C,PUP3,PUtative Proteasome subunit,1
YER095W,RAD51,RADiation sensitive,0
YER096W,SHC1,Sporulation-specific Homolog of CSD4,0
YER097W,,,0
YER098W,UBP9,UBiquitin-specific Protease,0
YER101C,AST2,ATPase STabilizing,0
YER103W,SSA4,Stress-Seventy subfamily A,0
YER104W,RTT105,Regulator of Ty1 Transposition,1
YER106W,MAM1,Monopolar microtubule Attachment during Meiosis I,0
YER107C,GLE2,GLFG LEthal,0
YER110C,KAP123,KAryoPherin,0
YER111C,SWI4,SWItching deficient,0
YER112W,LSM4,Like SM,1
YER113C,TMN3,TransMembrane Nine,0
YER114C,BOI2,Bem1 (One) Interacting protein,0
YER115C,SPR6,SPorulation Regulated,0
YER116C,SLX8,Synthetic Lethal of unknown (X) function,0
YER117W,RPL23B,Ribosomal Protein of the Large subunit,0
YER118C,SHO1,"Synthetic, High Osmolarity-sensitive",0
YER119C,AVT6,Amino acid Vacuolar Transport,0
YER119C-A,,,0
YER120W,SCS2,Suppressor of Choline Sensitivity,0
YER121W,,,0
YER122C,GLO3,GLyOxalase,0
YER123W,YCK3,Yeast Casein Kinase,0
YER124C,DSE1,Daughter Specific Expression,0
YER125W,RSP5,Reverses Spt- Phenotype,1
YER126C,NSA2,Nop Seven Associated,1
YER127W,LCP5,Lethal with Conditional Pap1,1
YER128W,VFA1,Vps Four-Associated,0
YER129W,SAK1,Snf1 Activating Kinase,0
YER130C,COM2,Cousin of Msn2,0
YER131W,RPS26B,Ribosomal Protein of the Small subunit,0
YER132C,PMD1,Paralog of MDS3,0
YER133W,GLC7,GLyCogen,1
YER134C,,,0
YER135C,,,0
YER136W,GDI1,GDP Dissociation Inhibitor,1
YER137C,,,0
YER139C,RTR1,Regulator of TRanscription,0
YER140W,EMP65,ER Membrane Protein of 65 kDa,0
YER141W,COX15,Cytochrome c OXidase,0
YER142C,MAG1,3-MethylAdenine DNA Glycosylase,0
YER143W,DDI1,DNA Damage Inducible,0
YER144C,UBP5,UBiquitin-specific Protease,0
YER145C,FTR1,Fe TRansporter,0
YER146W,LSM5,Like SM,1
YER147C,SCC4,Sister Chromatid Cohesion,1
YER148W,SPT15,SuPpressor of Ty insertions,1
YER149C,PEA2,PEAnut shmoo mutant,0
YER150W,SPI1,Stationary Phase Induced,0
YER151C,UBP3,UBiquitin-specific Protease,0
YER152C,,,0
YER153C,PET122,PETite colonies,0
YER154W,OXA1,cytochrome OXidase Activity,0
YER155C,BEM2,Bud EMergence,0
YER156C,MYG1,,0
YER157W,COG3,Conserved Oligomeric Golgi complex,1
YER158C,,,0
YER159C,BUR6,Bypass UAS Requirement,1
YER161C,SPT2,SuPpressor of Ty's,0
YER162C,RAD4,RADiation sensitive,0
YER163C,GCG1,Gamma-glutamyl Cyclotransferase acting on Glutathione,0
YER164W,CHD1,"Chromatin organization modifier, Helicase, and DNA-binding domains",0
YER165W,PAB1,Poly(A) Binding protein,1
YER166W,DNF1,Drs2 Neo1 Family,0
YER167W,BCK2,Bypass of C Kinase,0
YER168C,CCA1,tRNA CCA-pyrophosphorylase,1
YER169W,RPH1,Regulator of PHR1,0
YER170W,ADK2,ADenylate Kinase,0
YER171W,RAD3,RADiation sensitive,1
YER172C,BRR2,Bad Response to Refrigeration,1
YER173W,RAD24,RADiation sensitive,0
YER174C,GRX4,GlutaRedoXin,0
YER175C,TMT1,Trans-aconitate MethylTransferase,0
YER175W-A,,,0
YER176W,ECM32,ExtraCellular Mutant,0
YER177W,BMH1,Brain Modulosignalin Homolog,0
YER178W,PDA1,Pyruvate Dehydrogenase Alpha,0
YER179W,DMC1,Disrupted Meiotic cDNA,0
YER180C,ISC10,message Induced in Sporogenesis in S. Cerevisiae,0
YER180C-A,SLO1,Scoco-Like Orf,0
YER181C,,,0
YER182W,FMP10,Found in Mitochondrial Proteome,0
YER183C,FAU1,Folinic Acid Utilization,0
YER184C,TOG1,Transcriptional regulator of Oleate utilization Genes,0
YER185W,PUG1,Protoporphyrin Uptake Gene,0
YER186C,,,0
YER187W,,,0
YER188W,,,0
YFL002C,SPB4,Suppressor of PAB1,1
YFL005W,SEC4,SECretory,1
YFL008W,SMC1,Stability of MiniChromosomes,1
YFL009W,CDC4,Cell Division Cycle,1
YFL010C,WWM1,WW domain containing protein interacting with Metacaspase,0
YFL010W-A,AUA1,Amino acid Uptake Activation,0
YFL011W,HXT10,HeXose Transporter,0
YFL012W-A,,,0
YFL014W,HSP12,Heat Shock Protein,0
YFL015C,,,0
YFL017C,GNA1,GlucosamiNe-6-phosphate Acetyltransferase,1
YFL017W-A,SMX2,,1
YFL018C,LPD1,LiPoamide Dehydrogenase,0
YFL019C,,,0
YFL020C,PAU5,seriPAUperin family,0
YFL021W,GAT1,,0
YFL022C,FRS2,phenylalanyl (F)-tRNA Synthetase,1
YFL024C,EPL1,Enhancer of Polycomb Like,1
YFL025C,BST1,Bypass of Sec Thirteen,0
YFL026W,STE2,STErile,0
YFL027C,GYP8,Gtpase-activating protein for Ypt Proteins,0
YFL028C,CAF16,CCR4 Associated Factor,0
YFL029C,CAK1,Cdk-Activating Kinase,1
YFL030W,AGX1,Alanine:Glyoxylate aminotrans(X)ferase,0
YFL031W,HAC1,Homologous to Atf/Creb1,0
YFL032W,,,0
YFL034C-A,RPL22B,Ribosomal Protein of the Large subunit,0
YFL034C-B,MOB2,Mps One Binder,1
YFL034W,MIL1,Medium adaptin-Interacting Ligand,0
YFL036W,RPO41,RNA POlymerase,0
YFL037W,TUB2,TUBulin,1
YFL038C,YPT1,Yeast Protein Two,1
YFL039C,ACT1,ACTin,1
YFL040W,,,0
YFL041W,FET5,FErrous Transport,0
YFL041W-A,,,0
YFL042C,LAM5,Lipid transfer protein Anchored at Membrane contact site,0
YFL044C,OTU1,Ovarian TUmor,0
YFL045C,SEC53,SECretory,1
YFL046W,FMP32,Found in Mitochondrial Proteome,0
YFL047W,RGD2,RhoGAP domain,0
YFL048C,EMP47,,0
YFL049W,SWP82,SWi/snf-associated Protein,0
YFL050C,ALR2,ALuminum Resistance,0
YFL051C,,,0
YFL052W,ZNF1,ZiNc Finger protein,0
YFL053W,DAK2,DihydroxyAcetone Kinase,0
YFL054C,AQY3,AQuaporin from Yeast,0
YFL055W,AGP3,high-Affinity Glutamine Permease,0
YFR001W,LOC1,LOCalization of mRNA,0
YFR002W,NIC96,Nucleoporin-Interacting Component of 96 kDa,1
YFR003C,YPI1,Yeast Phosphatase Inhibitor,1
YFR004W,RPN11,Regulatory Particle Non-ATPase,1
YFR005C,SAD1,SnRNP Assembly Defective,1
YFR006W,,,0
YFR007W,YFH7,,0
YFR008W,FAR7,Factor ARrest,0
YFR009W,GCN20,General Control Nonderepressible,0
YFR010W,UBP6,UBiquitin-specific Protease,0
YFR011C,MIC19,MItochondrial contact site and Cristae organizing system,0
YFR012W,DCV1,Demands Cdc28 kinase activity for Viability,0
YFR012W-A,,,0
YFR013W,IOC3,Iswi One Complex,0
YFR014C,CMK1,CalModulin dependent protein Kinase,0
YFR015C,GSY1,Glycogen SYnthase,0
YFR016C,AIP5,Actin Interacting Protein,0
YFR017C,IGD1,Inhibitor of Glycogen Debranching,0
YFR018C,,,0
YFR019W,FAB1,Forms Aploid and Binucleate cells,0
YFR020W,CSS2,Condition Specific Secretion,0
YFR021W,ATG18,AuTophaGy related,0
YFR022W,ROG3,Revertant Of Glycogen synthase kinase mutation,0
YFR023W,PES4,Polymerase Epsilon Suppressor,0
YFR024C-A,LSB3,Las Seventeen Binding protein,0
YFR025C,HIS2,HIStidine requiring,0
YFR026C,ULI1,Upr-L-Inducible gene,0
YFR027W,ECO1,Establishment of COhesion,1
YFR028C,CDC14,Cell Division Cycle,1
YFR029W,PTR3,Peptide TRansport,1
YFR030W,MET10,METhionine requiring,0
YFR031C,SMC2,Structural Maintenance of Chromosomes,1
YFR031C-A,RPL2A,Ribosomal Protein of the Large subunit,0
YFR032C,RRT5,Regulator of rDNA Transcription,0
YFR032C-A,RPL29,Ribosomal Protein of the Large subunit,0
YFR032C-B,MIN10,mitochondrial MINi protein of 10 kDa,0
YFR033C,QCR6,ubiQuinol-cytochrome C oxidoReductase,0
YFR034C,PHO4,PHOsphate metabolism,0
YFR035C,,,0
YFR036W,CDC26,Cell Division Cycle,0
YFR037C,RSC8,Remodel the Structure of Chromatin,1
YFR038W,IRC5,Increased Recombination Centers,0
YFR039C,OSW7,Outer Spore Wall,0
YFR040W,SAP155,Sit4 Associated Protein,0
YFR041C,ERJ5,Endoplasmic Reticulum located J-protein,0
YFR042W,KEG1,Kre6-binding ER protein responsible for Glucan synthesis,1
YFR043C,IRC6,Increased Recombination Centers,0
YFR044C,DUG1,Deficient in Utilization of Glutathione,0
YFR045W,MRX20,Mitochondrial oRganization of gene eXpression (MIOREX),0
YFR046C,CNN1,Co-purified with NNf1p,0
YFR047C,BNA6,Biosynthesis of Nicotinic Acid,0
YFR048W,RMD8,Required for Meiotic nuclear Division,0
YFR049W,YMR31,Yeast Mitochondrial Ribosomal protein,0
YFR050C,PRE4,PRoteinase yscE,1
YFR051C,RET2,RETrieval from ER,1
YFR052W,RPN12,Regulatory Particle Non-ATPase,1
YFR053C,HXK1,HeXoKinase,0
YFR054C,,,0
YFR055W,IRC7,Increased Recombination Centers,0
YFR056C,,,0
YFR057W,,,0
YGL001C,ERG26,ERGosterol biosynthesis,1
YGL002W,ERP6,Emp24p/Erv25p Related Protein,0
YGL003C,CDH1,CDC20 Homolog,0
YGL004C,RPN14,Regulatory Particle Non-ATPase,0
YGL005C,COG7,Conserved Oligomeric Golgi complex,0
YGL006W,PMC1,Plasma Membrane Calcium,0
YGL006W-A,,,0
YGL007C-A,,,0
YGL007W,BRP1,,0
YGL008C,PMA1,Plasma Membrane ATPase,1
YGL009C,LEU1,LEUcine biosynthesis,0
YGL010W,MPO1,Metabolism of PHS to Odd-numbered fatty acids,0
YGL011C,SCL1,Suppressor of Crl3 ts Lethality,1
YGL012W,ERG4,ERGosterol biosynthesis,0
YGL013C,PDR1,Pleiotropic Drug Resistance,0
YGL014W,PUF4,PUmilio-homology domain Family,0
